,z_id,houseType,price,num_beds,num_baths,sqft,lat,lon
1551,16854736,House ,14000.0,4.0,4.0,3268.0,32.822613,-117.27608
1552,16851607,House ,14495.0,3.0,3.5,3743.0,32.843502,-117.253365
1553,2077218232,Apartment ,2425.0,1.0,1.0,620.0,32.864956,-117.23322
1535,2105328693,House ,4200.0,2.0,2.0,1102.0,32.8519,-117.2475
1507,16841215,Apartment ,3250.0,1.0,1.0,636.0,32.857582,-117.23244
1510,16907983,Apartment ,5000.0,2.0,3.0,1671.0,32.809757,-117.25741
1512,16858333,House ,6250.0,3.0,2.5,2609.0,32.819828,-117.25176
1517,16847771,Apartment ,5850.0,0.0,1.0,1475.0,32.847897,-117.2762
1530,16850698,Apartment ,3650.0,2.0,2.0,989.0,32.82467,-117.275665
1527,2066092504,House ,5500.0,3.0,2.5,1400.0,32.831375,-117.27506
1523,2070135043,Apartment ,2200.0,1.0,1.0,,32.862854,-117.23569
1600,16850311,Townhouse ,7500.0,3.0,3.5,1586.0,32.827953,-117.27731
1602,2103442106,Apartment ,3695.0,2.0,2.0,989.0,32.825966,-117.27615
1601,16848111,House ,6500.0,3.0,2.0,1890.0,32.84858,-117.26148
1599,16849076,Apartment ,5500.0,2.0,2.0,1343.0,32.840622,-117.27101
1593,16857600,House ,19500.0,4.0,3.0,4046.0,32.81709,-117.247154
1597,52513958,Apartment ,2195.0,1.0,1.0,691.0,32.864143,-117.23405
1596,98362649,House ,11000.0,3.0,2.5,2200.0,32.827774,-117.27344
1595,16858038,House ,5100.0,3.0,2.0,1804.0,32.832577,-117.24604
1594,32.840717--117.272964,other,,,,,32.840717,-117.272964
1603,16858124,House ,8750.0,4.0,3.5,2939.0,32.831394,-117.23554
1598,16855387,House ,25995.0,4.0,3.5,5700.0,32.81987,-117.260765
1604,16841564,Apartment ,3250.0,1.0,1.0,691.0,32.862747,-117.234886
1617,52513882,Condo ,10000.0,2.0,2.0,1245.0,32.85539,-117.25691
1606,16856377,House ,16000.0,5.0,3.0,3050.0,32.81356,-117.25901
1607,16855611,House ,8700.0,3.0,2.0,1690.0,32.81446,-117.27215
1608,16847650,Condo ,6500.0,2.0,2.0,1270.0,32.847584,-117.27665
1609,16912230,House ,6999.0,4.0,3.0,2224.0,32.81231,-117.24743
1610,55808976,Townhouse ,6000.0,3.0,2.5,1904.0,32.828377,-117.277626
1611,32.86568--117.235725,other,,,,,32.86568,-117.235725
1612,16856581,House ,45000.0,6.0,8.0,7551.0,32.82203,-117.25384
1613,16856693,House ,7900.0,3.0,2.0,2843.0,32.816788,-117.2547
1614,16850000,Townhouse ,5995.0,2.0,2.5,1800.0,32.83125,-117.274
1615,2066751394,Apartment ,1950.0,1.0,1.0,400.0,32.842457,-117.27549
1616,16848989,House ,7500.0,3.0,3.0,1300.0,32.841145,-117.270584
1618,16838672,House ,16000.0,4.0,4.0,2714.0,32.856934,-117.24762
1605,16855048,House ,20000.0,4.0,3.5,2600.0,32.824802,-117.261
1591,16852362,Townhouse ,5800.0,3.0,2.5,1858.0,32.835342,-117.245865
1578,16850165,Townhouse ,7500.0,3.0,2.5,1941.0,32.829994,-117.27462
1589,16855600,House ,6500.0,3.0,2.0,1327.0,32.81464,-117.27251
1619,16849690,Condo ,7250.0,2.0,2.5,1448.0,32.83318,-117.2811
1563,16858533,House ,6200.0,3.0,3.0,2649.0,32.814198,-117.2527
1564,16855126,House ,7000.0,4.0,2.0,2100.0,32.819115,-117.2714
1565,2068545116,Apartment ,6600.0,4.0,4.0,2400.0,32.851456,-117.24963
1566,32.841976--117.27955,other,,,,,32.841976,-117.27955
1567,16835757,Townhouse ,4200.0,2.0,3.0,1443.0,32.868847,-117.23481
1568,2065138637,Apartment ,2400.0,1.0,1.0,580.0,32.829514,-117.27778
1569,16856500,House ,8955.0,4.0,3.0,2100.0,32.82729,-117.25088
1571,2065408815,Apartment ,2500.0,1.0,1.0,700.0,32.861904,-117.23384
1572,16835725,Apartment ,2595.0,2.0,1.0,822.0,32.867527,-117.23662
1573,16857528,Townhouse ,6150.0,4.0,3.0,2268.0,32.81866,-117.234184
1590,2065627434,Apartment ,4000.0,2.0,2.0,1119.0,32.845333,-117.277
1574,16838976,Townhouse ,6500.0,3.0,3.0,2083.0,32.853363,-117.24619
1576,2069194403,Apartment ,3595.0,1.0,1.0,,32.848423,-117.275154
1577,2101162866,House ,12000.0,4.0,1.5,2080.0,32.82714,-117.27817
1579,2080812307,Apartment ,8900.0,1.0,2.0,1005.0,32.83978,-117.28162
1580,2067192863,Townhouse ,6800.0,3.0,4.0,2185.0,32.84012,-117.27662
1581,32.852432--117.251274,other,,,,,32.852432,-117.251274
1582,16858002,House ,6800.0,3.0,2.0,1961.0,32.831512,-117.24578
1583,16836270,Apartment ,4000.0,2.0,2.0,1387.0,32.862335,-117.23133
1584,16835066,House ,8900.0,3.0,2.0,1859.0,32.86785,-117.24123
1585,16836122,Apartment ,3500.0,2.0,2.0,1346.0,32.862057,-117.2317
1586,16839911,House ,6500.0,5.0,3.0,2671.0,32.860313,-117.24126
1587,16857161,House ,6995.0,4.0,2.0,1923.0,32.81912,-117.23966
1588,2078682830,Apartment ,3995.0,3.0,2.0,1100.0,32.843082,-117.27132
1575,2075704731,House ,39000.0,3.0,5.0,5664.0,32.849586,-117.271126
1620,16857134,House ,18000.0,6.0,4.0,4000.0,32.82204,-117.23299
